OrganizationIdentifier.x,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime.TimeZoneCode,MonitoringLocationIdentifier,ResultSampleFractionText,ResultMeasureValue,ResultMeasure.MeasureUnitCode,LatitudeMeasure,LongitudeMeasure
USGS-AL,Water,Surface Water,3/31/2016,CDT,USGS-02469762,Dissolved,NA,No Unit,31.7571018,-88.1250095
USGS-AL,Water,Surface Water,4/20/2016,CDT,USGS-02469762,Dissolved,3,ng/l,31.7571018,-88.1250095
USGS-AL,Water,Surface Water,5/3/2016,CDT,USGS-02469762,Dissolved,NA,No Unit,31.7571018,-88.1250095
USGS-AL,Water,Surface Water,5/18/2016,CDT,USGS-02469762,Dissolved,3.04,ng/l,31.7571018,-88.1250095
USGS-AL,Water,Surface Water,6/2/2016,CDT,USGS-02469762,Dissolved,2.17,ng/l,31.7571018,-88.1250095
USGS-AL,Water,Surface Water,7/21/2016,CDT,USGS-02469762,Dissolved,2.25,ng/l,31.7571018,-88.1250095
USGS-AL,Water,Surface Water,7/27/2016,CDT,USGS-02469762,Dissolved,2.76,ng/l,31.7571018,-88.1250095
USGS-AL,Water,Surface Water,8/18/2016,CDT,USGS-02469762,Dissolved,NA,No Unit,31.7571018,-88.1250095
USGS-AL,Water,Surface Water,9/16/2016,CDT,USGS-02469762,Dissolved,2.46,ng/l,31.7571018,-88.1250095
USGS-AL,Water,Surface Water,9/27/2016,CDT,USGS-02469762,Dissolved,NA,No Unit,31.7571018,-88.1250095
USGS-AL,Water,Surface Water,10/18/2016,CDT,USGS-02469762,Dissolved,NA,No Unit,31.7571018,-88.1250095
USGS-AL,Water,Surface Water,11/9/2016,CST,USGS-02469762,Dissolved,NA,No Unit,31.7571018,-88.1250095
USGS-AL,Water,Surface Water,11/29/2016,CST,USGS-02469762,Dissolved,4.03,ng/l,31.7571018,-88.1250095
USGS-AL,Water,Surface Water,12/13/2016,CST,USGS-02469762,Dissolved,2.24,ng/l,31.7571018,-88.1250095
USGS-AL,Water,Surface Water,1/18/2017,CST,USGS-02469762,Dissolved,2.59,ng/l,31.7571018,-88.1250095
USGS-AL,Water,Surface Water,1/24/2017,CST,USGS-02469762,Dissolved,NA,No Unit,31.7571018,-88.1250095
USGS-AL,Water,Surface Water,2/8/2017,CST,USGS-02469762,Dissolved,2.4,ng/l,31.7571018,-88.1250095
USGS-AL,Water,Surface Water,3/14/2017,CDT,USGS-02469762,Dissolved,NA,No Unit,31.7571018,-88.1250095
USGS-AL,Water,Surface Water,3/28/2017,CDT,USGS-02469762,Dissolved,NA,No Unit,31.7571018,-88.1250095
USGS-AL,Water,Surface Water,4/12/2017,CDT,USGS-02469762,Dissolved,NA,No Unit,31.7571018,-88.1250095
USGS-AL,Water,Surface Water,5/18/2017,CDT,USGS-02469762,Dissolved,3.21,ng/l,31.7571018,-88.1250095
USGS-AL,Water,Surface Water,5/31/2017,CDT,USGS-02469762,Dissolved,3.1,ng/l,31.7571018,-88.1250095
USGS-AL,Water,Surface Water,7/27/2017,CDT,USGS-02469762,Dissolved,NA,No Unit,31.7571018,-88.1250095
USGS-AL,Water,Surface Water,7/31/2017,CDT,USGS-02469762,Dissolved,NA,No Unit,31.7571018,-88.1250095
USGS-AL,Water,Surface Water,8/16/2017,CDT,USGS-02469762,Dissolved,NA,No Unit,31.7571018,-88.1250095
USGS-AL,Water,Surface Water,9/1/2017,CDT,USGS-02469762,Dissolved,11,ng/l,31.7571018,-88.1250095
USGS-AL,Water,Surface Water,9/6/2017,CDT,USGS-02469762,Dissolved,3.77,ng/l,31.7571018,-88.1250095
USGS-AL,Water,Surface Water,9/21/2017,CDT,USGS-02469762,Dissolved,4.16,ng/l,31.7571018,-88.1250095
USGS-AL,Water,Surface Water,10/26/2017,CDT,USGS-02469762,Dissolved,NA,No Unit,31.7571018,-88.1250095
USGS-AL,Water,Surface Water,11/9/2017,CST,USGS-02469762,Dissolved,3.99,ng/l,31.7571018,-88.1250095
USGS-AL,Water,Surface Water,11/29/2017,CST,USGS-02469762,Dissolved,1.8,ng/l,31.7571018,-88.1250095
USGS-AL,Water,Surface Water,12/18/2017,CST,USGS-02469762,Dissolved,NA,No Unit,31.7571018,-88.1250095
USGS-AL,Water,Surface Water,1/29/2018,CST,USGS-02469762,Dissolved,1.24,ng/l,31.7571018,-88.1250095
USGS-AL,Water,Surface Water,2/6/2018,CST,USGS-02469762,Dissolved,NA,No Unit,31.7571018,-88.1250095
USGS-AL,Water,Surface Water,2/22/2018,CST,USGS-02469762,Dissolved,NA,No Unit,31.7571018,-88.1250095
USGS-AL,Water,Surface Water,3/7/2018,CST,USGS-02469762,Dissolved,NA,No Unit,31.7571018,-88.1250095
USGS-AL,Water,Surface Water,3/22/2018,CDT,USGS-02469762,Dissolved,NA,No Unit,31.7571018,-88.1250095
USGS-AL,Water,Surface Water,4/2/2018,CDT,USGS-02469762,Dissolved,NA,No Unit,31.7571018,-88.1250095
USGS-AL,Water,Surface Water,5/16/2018,CDT,USGS-02469762,Dissolved,2.01,ng/l,31.7571018,-88.1250095
USGS-AL,Water,Surface Water,5/31/2018,CDT,USGS-02469762,Dissolved,NA,No Unit,31.7571018,-88.1250095
USGS-AL,Water,Surface Water,6/5/2018,CDT,USGS-02469762,Dissolved,20.5,ng/l,31.7571018,-88.1250095
USGS-AL,Water,Surface Water,7/5/2018,CDT,USGS-02469762,Dissolved,4.97,ng/l,31.7571018,-88.1250095
USGS-AL,Water,Surface Water,7/24/2018,CDT,USGS-02469762,Dissolved,7.75,ng/l,31.7571018,-88.1250095
USGS-AL,Water,Surface Water,8/28/2018,CDT,USGS-02469762,Dissolved,2.94,ng/l,31.7571018,-88.1250095
USGS-AL,Water,Surface Water,9/11/2018,CDT,USGS-02469762,Dissolved,NA,No Unit,31.7571018,-88.1250095
USGS-AL,Water,Surface Water,9/26/2018,CDT,USGS-02469762,Dissolved,3.12,ng/l,31.7571018,-88.1250095
USGS-AL,Water,Surface Water,10/16/2018,CDT,USGS-02469762,Dissolved,4.81,ng/l,31.7571018,-88.1250095
USGS-AL,Water,Surface Water,11/6/2018,CST,USGS-02469762,Dissolved,4.91,ng/l,31.7571018,-88.1250095
USGS-AL,Water,Surface Water,11/27/2018,CST,USGS-02469762,Dissolved,3.3,ng/l,31.7571018,-88.1250095
USGS-AL,Water,Surface Water,3/27/2019,CDT,USGS-02469762,Dissolved,1.07,ng/l,31.7571018,-88.1250095
USGS-AL,Water,Groundwater,6/8/2016,CDT,USGS-302434087462601,Dissolved,NA,No Unit,30.4094444,-87.7738889
USGS-AL,Water,Groundwater,9/20/2018,CDT,USGS-302434087462601,Dissolved,NA,No Unit,30.4094444,-87.7738889
USGS-AL,Water,Groundwater,6/8/2016,CDT,USGS-302438087325801,Dissolved,NA,No Unit,30.4105556,-87.5494444
USGS-AL,Water,Groundwater,9/20/2018,CDT,USGS-302438087325801,Dissolved,NA,No Unit,30.4105556,-87.5494444
USGS-AL,Water,Groundwater,6/9/2016,CDT,USGS-303231087525801,Dissolved,NA,No Unit,30.5419444,-87.8827778
USGS-AL,Water,Groundwater,9/19/2018,CDT,USGS-303231087525801,Dissolved,NA,No Unit,30.5419444,-87.8827778
USGS-AL,Water,Groundwater,6/9/2016,CDT,USGS-303252087500801,Dissolved,NA,No Unit,30.5477778,-87.8355556
USGS-AL,Water,Groundwater,9/19/2018,CDT,USGS-303406087501401,Dissolved,NA,No Unit,30.5684583,-87.8371306
USGS-AL,Water,Groundwater,6/9/2016,CDT,USGS-303432087485501,Dissolved,NA,No Unit,30.5755556,-87.8152778
USGS-AL,Water,Groundwater,9/19/2018,CDT,USGS-303432087485501,Dissolved,NA,No Unit,30.5755556,-87.8152778
USGS-AL,Water,Groundwater,6/16/2016,CDT,USGS-310153085225901,Dissolved,NA,No Unit,31.0315708,-85.3829885
USGS-AL,Water,Groundwater,8/23/2018,CDT,USGS-310153085225901,Dissolved,NA,No Unit,31.0315708,-85.3829885
USGS-AL,Water,Groundwater,6/15/2016,CDT,USGS-310453085383001,Dissolved,NA,No Unit,31.0813889,-85.6416667
USGS-AL,Water,Groundwater,9/14/2018,CDT,USGS-310453085383001,Dissolved,NA,No Unit,31.0813889,-85.6416667
USGS-AL,Water,Groundwater,6/15/2016,CDT,USGS-311048085403201,Dissolved,NA,No Unit,31.18,-85.6755556
USGS-AL,Water,Groundwater,9/14/2018,CDT,USGS-311048085403201,Dissolved,NA,No Unit,31.18,-85.6755556
USGS-AL,Water,Groundwater,8/24/2018,CDT,USGS-311928085191101,Dissolved,NA,No Unit,31.3244444,-85.3197222
USGS-AL,Water,Groundwater,6/16/2016,CDT,USGS-312118085193001,Dissolved,NA,No Unit,31.3552222,-85.3250278
USGS-AL,Water,Groundwater,8/24/2018,CDT,USGS-312118085193001,Dissolved,NA,No Unit,31.3552222,-85.3250278
USGS-AL,Water,Groundwater,9/22/2016,CDT,USGS-322500085551201,Dissolved,NA,No Unit,32.4169167,-85.9199167
USGS-AL,Water,Groundwater,6/22/2016,CDT,USGS-343940087290601,Dissolved,NA,No Unit,34.6610556,-87.4848611
USGS-AL,Water,Groundwater,8/14/2018,CDT,USGS-343940087290601,Dissolved,NA,No Unit,34.6610556,-87.4848611
USGS-AL,Water,Groundwater,6/21/2016,CDT,USGS-344348086493401,Dissolved,NA,No Unit,34.7300556,-86.8261111
USGS-AL,Water,Groundwater,8/15/2018,CDT,USGS-344348086493401,Dissolved,NA,No Unit,34.7300556,-86.8261111
USGS-AL,Water,Groundwater,6/21/2016,CDT,USGS-345112086313401,Dissolved,NA,No Unit,34.8534444,-86.5261667
USGS-AL,Water,Groundwater,8/15/2018,CDT,USGS-345112086313401,Dissolved,NA,No Unit,34.8534444,-86.5261667
USGS-AL,Water,Groundwater,6/21/2016,CDT,USGS-345822086254001,Dissolved,NA,No Unit,34.9727222,-86.4279167
USGS-AL,Water,Groundwater,8/13/2018,CDT,USGS-345822086254001,Dissolved,NA,No Unit,34.9727222,-86.4279167
USGS-AZ,Water,Groundwater,3/1/2018,MST,AZ014-333330112164801,Dissolved,NA,No Unit,33.5582222,-112.280861
USGS-AZ,Water,Groundwater,2/28/2018,MST,AZ014-333536112131201,Dissolved,NA,No Unit,33.5935925,-112.2204858
USGS-AZ,Water,Groundwater,4/12/2018,MST,AZ014-333721112230401,Dissolved,NA,No Unit,33.6225381,-112.3851624
USGS-AZ,Water,Surface Water,2/10/2016,MST,USGS-09380000,Dissolved,NA,No Unit,36.8643333,-111.5878722
USGS-AZ,Water,Surface Water,2/24/2016,MST,USGS-09380000,Dissolved,NA,No Unit,36.8643333,-111.5878722
USGS-AZ,Water,Surface Water,3/15/2016,MST,USGS-09380000,Dissolved,NA,No Unit,36.8643333,-111.5878722
USGS-AZ,Water,Surface Water,3/31/2016,MST,USGS-09380000,Dissolved,NA,No Unit,36.8643333,-111.5878722
USGS-AZ,Water,Surface Water,4/13/2016,MST,USGS-09380000,Dissolved,1.01,ng/l,36.8643333,-111.5878722
